Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
9,262140,40674030,6318852570,22954845,3563268510,553783963590,2081444895,323252618640,-5605006308
9,260865,40465950,6285000300,22903590,3553896240,552111044250,2081786340,323129303700,-9115044578
9,256785,39810345,6179720235,22499160,3488622360,541584910980,2039422170,316278425760,-3596774704
9,258570,40103085,6227758155,22579230,3501635010,543707901240,2039608320,316293009720,-2633376034
9,267240,41449485,6437249835,23369220,3623767260,562625337870,2116198590,328086988710,-66122392
9,277440,43054965,6690374055,24343575,3776652765,586652456595,2214647205,343488986925,-5032100565
9,282795,43881675,6818247375,24732450,3836475255,595874723355,2245000620,348142394715,-7266652217
9,293250,45488940,7065930150,25777695,3996474495,620419700925,2353560495,364697501145,-11873425177
9,298605,46290660,7186166730,26174730,4055054880,629073105780,2384937480,369245616630,-18410533422
9,300645,46553055,7218545355,26334615,4074466500,631256531550,2398219155,370754478150,-10454501580
9,261885,57039165,12430358265,21390420,4659928650,1015725953670,1825730640,397805744640,6251881620
9,258060,56118105,12210843555,20962275,4559471400,992293180530,1775538225,386256585540,3076678846
9,257805,55979130,12162700320,20898525,4538619795,986256490815,1765806405,383530350195,4646294795
9,256530,55622895,12068464815,20793720,4509419490,978544929480,1755154290,380675794770,-474812660
9,256020,55437255,12012365325,20723340,4488076755,972633130095,1743717540,377683294035,15404504935
9,250410,54159960,11722344900,20253630,4381117005,948345308295,1700763300,367921384545,10324754999
9,247350,53478600,11570592870,19992765,4323093285,935435121885,1678182795,362887115895,4420169059
9,254745,54965760,11868855660,20621850,4449275445,960664244565,1733132490,373881171615,9796151735
9,258060,55629015,12000656745,20933460,4511940165,973190386695,1765979040,380543144025,1816522355
9,268770,57797535,12438561105,21745890,4675160310,1005861871800,1831367160,393603632280,-8310897602
9,288915,76742250,20394913260,30210870,8025423750,1016298808360,3255908850,864916724460,-39488291710
9,289935,76836855,20373104385,30300120,8030351880,1072737157674,3264397800,865107680190,-44394973800
9,294270,77765820,20561164080,30545430,8072472015,1180920779433,3268960770,863873889465,-34918935401
9,295800,77902245,20526779115,30442155,8017439190,1305105913852,3228591465,850249660470,-7249210520
9,298605,78373995,20580670815,30698685,8056939200,1368246081366,3251237505,853185907950,-18321485192
9,313395,81897585,21412032015,32561460,8508031905,1352233877557,3490568520,911907858495,-24959464169
9,334560,87074340,22673181690,35267520,9175854465,1301841847487,3845332170,1000097152845,-9845177345
9,342210,88691550,22998047100,36338520,9413499675,1335988201843,3990472050,1033194928845,-11214577523
9,339405,87591225,22617531255,36203625,9337067760,1357181364310,3996893715,1030050686280,-40476785602
9,341700,87736065,22541830935,36716430,9418301580,1412543576646,4084466580,1046578128270,-29610582164
10,396015,60969735,9404501235,36884475,5678525640,875824258680,3604624665,555043734990,586373222
10,396780,61082700,9421269780,36947460,5685877290,876600330270,3613005750,555930987600,-2264344216
10,394230,60701220,9364122240,36712350,5650127055,871149955425,3593074440,552862851315,-3751498751
10,400095,61674810,9525523470,37257030,5739793470,885903708450,3647859150,561807268290,-16398891174
10,410550,63333075,9788624565,38280090,5901498405,911477699505,3755958750,578821849785,-28984172511
10,424830,65505165,10119689535,39769035,6127560495,945863666655,3925300935,604499759715,-20238779097
10,441150,68088825,10528809495,41442345,6391312350,987453932310,4110730305,633538810110,-9495141574
10,448290,69133305,10681244415,42080610,6484184115,1000930291395,4175585730,642983109705,-11536627779
10,455430,70204050,10842052770,42907320,6607410060,1019319723240,4275480450,657784239180,-15643102136
10,459000,70628370,10888208280,43456845,6679309350,1028452061190,4354634235,668617798920,-17845460212
10,386835,78057030,15766336350,33548055,6769884585,1367439821775,3088333815,623263395645,-9721328269
10,384285,77305290,15567207360,33184680,6675556260,1344195965640,3040324710,611592957270,-10126705718
10,372810,74841480,15040224870,32125410,6446996190,1295103071370,2933743890,588538431750,-7603734562
10,384285,76743780,15343213830,33261690,6639103755,1326591070875,3052215870,608940337365,-4315352515
10,385305,76777185,15316804755,33559785,6682118685,1331980488225,3099274335,616645423995,-13224548409
10,381480,75842610,15096555900,33233895,6600152250,1312295816010,3069464835,608953351290,-17607120518
10,373065,74049195,14715740685,32530350,6448267110,1279690488360,3009733380,595811050620,-48707548178
10,373575,73952805,14657846505,32625465,6448985190,1276278430260,3021580425,596442027720,-31927142310
10,382245,75482805,14924390355,33250215,6556014555,1294224359475,3065628615,603598390305,-27458718663
10,398310,78332430,15424658790,34647105,6804186930,1337892007620,3193168395,626316250290,-23385165996
10,411825,94501725,21704244165,45829365,10511892285,2365934787169,5334422265,1223030880915,30305665431
10,405960,92550210,21115847220,45115620,10281658140,2340626561204,5240685540,1193976315810,29653156306
10,414120,93890490,21302364420,45805395,10380406380,2354034761850,5297063745,1200041541300,20181140034
10,434520,98176785,22200079425,47713815,10774334205,2434861920855,5471154795,1234862524935,4855440805
10,448545,100793595,22667814705,49242795,11059970415,2486042355795,5650252005,1268607276225,2656401233
10,459255,102326910,22815858780,51571455,11485657470,2559821029710,6079584285,1353707540100,-27561074840
10,496995,110096505,24408278955,56863725,12588404715,2789013514245,6837922665,1513015771155,-21669176039
10,517905,114065835,25146876255,59449935,13078008795,2879851144755,7182430215,1578294956175,-22601072029
10,537030,117600645,25783204275,61859685,13523420610,2960150826060,7492226145,1635175846500,-204602382
10,545445,118656855,25848248145,62957715,13669112055,2972212193715,7643117295,1656133701585,-2179661507
10,322830,49632435,7640538735,29221725,4488693345,690371813475,2766339705,424634512665,-1814601825
10,321810,49327200,7570650630,29417565,4506010905,691072160265,2811084555,430346381595,3103002123
10,322575,49394010,7573355670,29504265,4514792595,691744613115,2819275665,431190302055,-2144570729
10,317985,48609630,7440441510,29077140,4442897895,679719977445,2776219170,424052157945,5295888907
10,332520,50748060,7755499620,30658140,4677015435,714440115465,2953710390,450455241975,-23321995
